rec_id, given_name, surname, street_number, address_1, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-140-dup-1, Ronson, Rego, 2, Reno Rd, 'Kukw', 90291, nv, , 25, 808 5995822, 6860541, 3
rec-52-org,   Rhonda, Agcaoili, 37, Hali'a, Kaunakakai, 90290, nv, 19531224, , 808 2939031, 2085284, 2
rec-148-org,   Rylee, Tamanaha, 5, Akaka Pl, Kahaluu-Keauhou, 90293, az, 19980716, 36, 213 4927263, 7005909, 9
rec-184-org,   Jerry, Nakasone, 19, Nanimauloa Pl, Kapolei, 85067, , 19880701, 31, 808 5080581, 6955826, 6
rec-118-org,   Hiilei, Kaia, 28, Bougainville Loop, Kawela Bay, 90201, nv, 19801102, 10, 206 3224157, 5931559, 0
rec-79-org,   ['Leilani'], Ross, 7, Bougainville Loop, Hawaiian Paradise Park, 90290, wa, 19460429, 31, 602 7591880, 4153564, 2
rec-42-org,   Sommer, Rego, 45, Aukai, Lihue, 90290, tx, 19641010, 30, 808 2980209, 6352016, 4
rec-93-org,   Sommer, Rego, 17, , Mokuleia, 96743, az, 19710724, 34, 423 4616787, 6327259, 5
rec-187-org,   Azalea, Rego, 21, Anapalau Pl, Volcano, 85260, az, 20160116, , 480 2518130, 7113555, 8
rec-140-dup-0, Ronsln, Rego, , Reno Rd, Kula, 90201, hz, 20018018, 25, 808 5995822, 6860541, 3
rec-68-org,   Sumiye, Wheeler, 10, Reeves Loop, Hawi, 96747, az, 19780526, 23, 423 1942462, 5554153, 4
rec-108-dup-2, 'Jdwa, Olsen, 70, Ohelo Lm, Kahaluu, 92706, wa, 19570802, 21, 480 9159155, 3542516, 7
